question,doc_id,unit_id,module,answer,id,domain,created_at,doc_type,source,region,role,status
如何录入新增押品信息,信贷系统操作手册,步骤1,押品,目标：为信贷业务人员与系统开发提供完整、可执行的功能设计与操作流程，降低业务误操作、缩短培训时间、并支持 RAG/知识库接入（供业务人员随时查询政策与产品说明）。,system_信贷系统操作手册_1_0,system,2025-12-31T15:23:42.887532,操作手册,信贷系统操作手册.md,全国,客户经理,生效
在哪里查询授信审批进度,信贷系统操作手册,功能2_1,授信,目标：为信贷业务人员与系统开发提供完整、可执行的功能设计与操作流程，降低业务误操作、缩短培训时间、并支持 RAG/知识库接入（供业务人员随时查询政策与产品说明）。,system_信贷系统操作手册_1_1,system,2025-12-31T15:23:42.887532,操作手册,信贷系统操作手册.md,全国,客户经理,生效
用信申请时如何关联已有授信额度,信贷系统操作手册,步骤3,用信,目标：为信贷业务人员与系统开发提供完整、可执行的功能设计与操作流程，降低业务误操作、缩短培训时间、并支持 RAG/知识库接入（供业务人员随时查询政策与产品说明）。,system_信贷系统操作手册_1_2,system,2025-12-31T15:23:42.887532,操作手册,信贷系统操作手册.md,全国,客户经理,生效
押品价值重估的操作步骤是什么,信贷系统操作手册,步骤5,押品,目标：为信贷业务人员与系统开发提供完整、可执行的功能设计与操作流程，降低业务误操作、缩短培训时间、并支持 RAG/知识库接入（供业务人员随时查询政策与产品说明）。,system_信贷系统操作手册_1_3,system,2025-12-31T15:23:42.887532,操作手册,信贷系统操作手册.md,全国,客户经理,生效
系统里怎么提交授信方案至审批环节,信贷系统操作手册,功能1_2,授信,目标：为信贷业务人员与系统开发提供完整、可执行的功能设计与操作流程，降低业务误操作、缩短培训时间、并支持 RAG/知识库接入（供业务人员随时查询政策与产品说明）。,system_信贷系统操作手册_1_4,system,2025-12-31T15:23:42.887532,操作手册,信贷系统操作手册.md,全国,客户经理,生效
如何录入客户基本信息,信贷系统操作手册,步骤1,授信,3. 详细功能设计与操作流程（关键场景，逐步模拟点击）,system_信贷系统操作手册_2_0,system,2025-12-31T15:23:48.751386,操作手册,信贷系统操作手册.md,全国,客户经理,生效
在哪里提交用信申请,信贷系统操作手册,功能2_1,用信,3. 详细功能设计与操作流程（关键场景，逐步模拟点击）,system_信贷系统操作手册_2_1,system,2025-12-31T15:23:48.751918,操作手册,信贷系统操作手册.md,全国,客户经理,生效
怎么查询押品评估状态,信贷系统操作手册,功能3_2,押品,3. 详细功能设计与操作流程（关键场景，逐步模拟点击）,system_信贷系统操作手册_2_2,system,2025-12-31T15:23:48.751918,操作手册,信贷系统操作手册.md,全国,客户经理,生效
授信审批流程如何操作,信贷系统操作手册,步骤3,授信,3. 详细功能设计与操作流程（关键场景，逐步模拟点击）,system_信贷系统操作手册_2_3,system,2025-12-31T15:23:48.751918,操作手册,信贷系统操作手册.md,全国,客户经理,生效
系统里怎么上传贷款合同文件,信贷系统操作手册,功能2_3,用信,3. 详细功能设计与操作流程（关键场景，逐步模拟点击）,system_信贷系统操作手册_2_4,system,2025-12-31T15:23:48.751918,操作手册,信贷系统操作手册.md,全国,客户经理,生效
如何在系统中录入新客户基本信息,信贷系统操作手册,步骤1,授信,场景 A：客户经理受理并提交新贷款申请（前端流程示例）,system_信贷系统操作手册_3_0,system,2025-12-31T15:23:53.203110,操作手册,信贷系统操作手册.md,全国,客户经理,生效
贷款申请提交前需要上传哪些材料,信贷系统操作手册,步骤2,用信,场景 A：客户经理受理并提交新贷款申请（前端流程示例）,system_信贷系统操作手册_3_1,system,2025-12-31T15:23:53.203110,操作手册,信贷系统操作手册.md,全国,客户经理,生效
在哪里选择贷款产品和期限额度,信贷系统操作手册,步骤3,用信,场景 A：客户经理受理并提交新贷款申请（前端流程示例）,system_信贷系统操作手册_3_2,system,2025-12-31T15:23:53.203110,操作手册,信贷系统操作手册.md,全国,客户经理,生效
客户征信报告如何在系统内查询,信贷系统操作手册,步骤4,授信,场景 A：客户经理受理并提交新贷款申请（前端流程示例）,system_信贷系统操作手册_3_3,system,2025-12-31T15:23:53.203110,操作手册,信贷系统操作手册.md,全国,客户经理,生效
提交贷款申请后如何跟踪审批进度,信贷系统操作手册,步骤5,用信,场景 A：客户经理受理并提交新贷款申请（前端流程示例）,system_信贷系统操作手册_3_4,system,2025-12-31T15:23:53.203110,操作手册,信贷系统操作手册.md,全国,客户经理,生效
如何提交授信申请并生成申请单号,信贷系统操作手册,步骤1,授信,点击【提交审批】：前端做完整校验 -> 若通过，则弹出“确认提交审批”弹窗（显示关键摘要） -> 点击弹窗【确认】后提交到流程引擎并生成申请单号（格式：LN + yyyyMMdd + 6位序号）。,system_信贷系统操作手册_4_0,system,2025-12-31T15:23:57.976293,操作手册,信贷系统操作手册.md,全国,客户经理,生效
提交审批前系统会进行哪些校验,信贷系统操作手册,步骤1,授信,点击【提交审批】：前端做完整校验 -> 若通过，则弹出“确认提交审批”弹窗（显示关键摘要） -> 点击弹窗【确认】后提交到流程引擎并生成申请单号（格式：LN + yyyyMMdd + 6位序号）。,system_信贷系统操作手册_4_1,system,2025-12-31T15:23:57.976293,操作手册,信贷系统操作手册.md,全国,客户经理,生效
确认提交审批时弹窗显示哪些信息,信贷系统操作手册,功能2_1,授信,点击【提交审批】：前端做完整校验 -> 若通过，则弹出“确认提交审批”弹窗（显示关键摘要） -> 点击弹窗【确认】后提交到流程引擎并生成申请单号（格式：LN + yyyyMMdd + 6位序号）。,system_信贷系统操作手册_4_2,system,2025-12-31T15:23:57.976293,操作手册,信贷系统操作手册.md,全国,客户经理,生效
申请单号的生成规则是什么,信贷系统操作手册,步骤1,授信,点击【提交审批】：前端做完整校验 -> 若通过，则弹出“确认提交审批”弹窗（显示关键摘要） -> 点击弹窗【确认】后提交到流程引擎并生成申请单号（格式：LN + yyyyMMdd + 6位序号）。,system_信贷系统操作手册_4_3,system,2025-12-31T15:23:57.976293,操作手册,信贷系统操作手册.md,全国,客户经理,生效
如何查看授信申请的流程进度,信贷系统操作手册,步骤1,授信,成功后跳转到【申请详情】页，顶部显示流程进度条（受理 -> 风控 -> 审批 -> 放款 -> 结清）。,system_信贷系统操作手册_5_0,system,2025-12-31T15:24:02.506367,操作手册,信贷系统操作手册.md,全国,客户经理,生效
申请详情页的进度条包含哪些阶段,信贷系统操作手册,步骤1,授信,成功后跳转到【申请详情】页，顶部显示流程进度条（受理 -> 风控 -> 审批 -> 放款 -> 结清）。,system_信贷系统操作手册_5_1,system,2025-12-31T15:24:02.506367,操作手册,信贷系统操作手册.md,全国,客户经理,生效
受理后流程会跳转到哪个页面,信贷系统操作手册,步骤1,授信,成功后跳转到【申请详情】页，顶部显示流程进度条（受理 -> 风控 -> 审批 -> 放款 -> 结清）。,system_信贷系统操作手册_5_2,system,2025-12-31T15:24:02.506367,操作手册,信贷系统操作手册.md,全国,客户经理,生效
系统中如何确认审批当前所处环节,信贷系统操作手册,步骤1,授信,成功后跳转到【申请详情】页，顶部显示流程进度条（受理 -> 风控 -> 审批 -> 放款 -> 结清）。,system_信贷系统操作手册_5_3,system,2025-12-31T15:24:02.506367,操作手册,信贷系统操作手册.md,全国,客户经理,生效
如何在系统中查询客户征信报告,信贷系统操作手册,步骤1,征信 | 风控,场景 B：风控岗进行征信与评分（后台操作）,system_信贷系统操作手册_6_0,system,2025-12-31T15:24:08.869911,操作手册,信贷系统操作手册.md,全国,客户经理,生效
客户信用评分如何录入系统,信贷系统操作手册,步骤2,评分 | 风控,场景 B：风控岗进行征信与评分（后台操作）,system_信贷系统操作手册_6_1,system,2025-12-31T15:24:08.869911,操作手册,信贷系统操作手册.md,全国,客户经理,生效
征信查询记录在哪里查看,信贷系统操作手册,步骤1_1,征信 | 风控,场景 B：风控岗进行征信与评分（后台操作）,system_信贷系统操作手册_6_2,system,2025-12-31T15:24:08.869911,操作手册,信贷系统操作手册.md,全国,客户经理,生效
系统里怎么提交风控审核结果,信贷系统操作手册,步骤3,审批 | 风控,场景 B：风控岗进行征信与评分（后台操作）,system_信贷系统操作手册_6_3,system,2025-12-31T15:24:08.869911,操作手册,信贷系统操作手册.md,全国,客户经理,生效
征信数据更新后如何重新评分,信贷系统操作手册,功能2_1,评分 | 风控,场景 B：风控岗进行征信与评分（后台操作）,system_信贷系统操作手册_6_4,system,2025-12-31T15:24:08.869911,操作手册,信贷系统操作手册.md,全国,客户经理,生效
如何在待风控列表中打开风控详情页,信贷系统操作手册,步骤1,风控,在待风控列表，点击申请单号（或行右侧【处理】按钮） -> 打开“风控详情”页（左侧显示申请信息，右侧为操作面板）,system_信贷系统操作手册_7_0,system,2025-12-31T15:24:14.912066,操作手册,信贷系统操作手册.md,全国,客户经理,生效
点击申请单号后进入哪个操作页面,信贷系统操作手册,步骤1,风控,在待风控列表，点击申请单号（或行右侧【处理】按钮） -> 打开“风控详情”页（左侧显示申请信息，右侧为操作面板）,system_信贷系统操作手册_7_1,system,2025-12-31T15:24:14.912066,操作手册,信贷系统操作手册.md,全国,客户经理,生效
在哪里查看风控申请的左侧信息,信贷系统操作手册,功能2_1,风控,在待风控列表，点击申请单号（或行右侧【处理】按钮） -> 打开“风控详情”页（左侧显示申请信息，右侧为操作面板）,system_信贷系统操作手册_7_2,system,2025-12-31T15:24:14.912066,操作手册,信贷系统操作手册.md,全国,客户经理,生效
风控详情页右侧操作面板有什么功能,信贷系统操作手册,功能2_2,风控,在待风控列表，点击申请单号（或行右侧【处理】按钮） -> 打开“风控详情”页（左侧显示申请信息，右侧为操作面板）,system_信贷系统操作手册_7_3,system,2025-12-31T15:24:14.912066,操作手册,信贷系统操作手册.md,全国,客户经理,生效
如何通过处理按钮进入风控处理流程,信贷系统操作手册,步骤1,风控,在待风控列表，点击申请单号（或行右侧【处理】按钮） -> 打开“风控详情”页（左侧显示申请信息，右侧为操作面板）,system_信贷系统操作手册_7_4,system,2025-12-31T15:24:14.912066,操作手册,信贷系统操作手册.md,全国,客户经理,生效
如何查看评分卡的准入判断结果,信贷系统操作手册,步骤1,授信,系统自动跑评分卡并显示【评分：XX】，并给出“准入判断”（通过/拒绝/人工复核）和规则命中明细（例如：命中“个人逾期6个月内” -> 建议拒绝）,system_信贷系统操作手册_8_0,system,2025-12-31T15:24:19.553026,操作手册,信贷系统操作手册.md,全国,客户经理,生效
在哪里查看评分卡命中的具体规则,信贷系统操作手册,功能2_1,授信,系统自动跑评分卡并显示【评分：XX】，并给出“准入判断”（通过/拒绝/人工复核）和规则命中明细（例如：命中“个人逾期6个月内” -> 建议拒绝）,system_信贷系统操作手册_8_1,system,2025-12-31T15:24:19.553026,操作手册,信贷系统操作手册.md,全国,客户经理,生效
系统如何显示客户评分结果,信贷系统操作手册,功能1_1,授信,系统自动跑评分卡并显示【评分：XX】，并给出“准入判断”（通过/拒绝/人工复核）和规则命中明细（例如：命中“个人逾期6个月内” -> 建议拒绝）,system_信贷系统操作手册_8_2,system,2025-12-31T15:24:19.553026,操作手册,信贷系统操作手册.md,全国,客户经理,生效
评分卡结果为人工复核时下一步怎么操作,信贷系统操作手册,步骤3,授信,系统自动跑评分卡并显示【评分：XX】，并给出“准入判断”（通过/拒绝/人工复核）和规则命中明细（例如：命中“个人逾期6个月内” -> 建议拒绝）,system_信贷系统操作手册_8_3,system,2025-12-31T15:24:19.553026,操作手册,信贷系统操作手册.md,全国,客户经理,生效
如何在系统中提交强制通过审批,信贷系统操作手册,步骤2_1,审批 | 授信,风控岗可点击【强制通过】【退回修改】【拒绝】三类操作（每个操作必须填写审批意见）。若选择【强制通过】需触发二次审批（会签流程）。,system_信贷系统操作手册_9_0,system,2025-12-31T15:24:24.591927,操作手册,信贷系统操作手册.md,全国,客户经理,生效
强制通过后系统如何触发会签流程,信贷系统操作手册,功能2_2,审批 | 授信,风控岗可点击【强制通过】【退回修改】【拒绝】三类操作（每个操作必须填写审批意见）。若选择【强制通过】需触发二次审批（会签流程）。,system_信贷系统操作手册_9_1,system,2025-12-31T15:24:24.592473,操作手册,信贷系统操作手册.md,全国,客户经理,生效
退回修改时必须填写哪些审批意见,信贷系统操作手册,步骤2_3,审批 | 授信,风控岗可点击【强制通过】【退回修改】【拒绝】三类操作（每个操作必须填写审批意见）。若选择【强制通过】需触发二次审批（会签流程）。,system_信贷系统操作手册_9_2,system,2025-12-31T15:24:24.592501,操作手册,信贷系统操作手册.md,全国,客户经理,生效
在哪里查看被拒绝的授信申请记录,信贷系统操作手册,功能2_4,审批 | 授信,风控岗可点击【强制通过】【退回修改】【拒绝】三类操作（每个操作必须填写审批意见）。若选择【强制通过】需触发二次审批（会签流程）。,system_信贷系统操作手册_9_3,system,2025-12-31T15:24:24.592501,操作手册,信贷系统操作手册.md,全国,客户经理,生效
如何发起授信审批的会签流程,信贷系统操作手册,步骤3,授信,如果达到阈值或产品配置要求（例如 >100万 或 风控评分低于阈值），审批人点击【发起会签】，选择会签组（法务/合规/技术），系统创建并行审批子任务，所有会签通过后才能最终通过。,system_信贷系统操作手册_10_0,system,2025-12-31T15:24:30.341130,操作手册,信贷系统操作手册.md,全国,客户经理,生效
在哪里选择会签组成员,信贷系统操作手册,功能2_1,授信,如果达到阈值或产品配置要求（例如 >100万 或 风控评分低于阈值），审批人点击【发起会签】，选择会签组（法务/合规/技术），系统创建并行审批子任务，所有会签通过后才能最终通过。,system_信贷系统操作手册_10_1,system,2025-12-31T15:24:30.341130,操作手册,信贷系统操作手册.md,全国,客户经理,生效
会签审批任务何时自动创建,信贷系统操作手册,步骤4,授信,如果达到阈值或产品配置要求（例如 >100万 或 风控评分低于阈值），审批人点击【发起会签】，选择会签组（法务/合规/技术），系统创建并行审批子任务，所有会签通过后才能最终通过。,system_信贷系统操作手册_10_2,system,2025-12-31T15:24:30.341130,操作手册,信贷系统操作手册.md,全国,客户经理,生效
系统并行会签通过的条件是什么,信贷系统操作手册,功能3_2,授信,如果达到阈值或产品配置要求（例如 >100万 或 风控评分低于阈值），审批人点击【发起会签】，选择会签组（法务/合规/技术），系统创建并行审批子任务，所有会签通过后才能最终通过。,system_信贷系统操作手册_10_3,system,2025-12-31T15:24:30.341130,操作手册,信贷系统操作手册.md,全国,客户经理,生效
如何录入新的贷款申请单,信贷系统操作手册,步骤1,用信,loan_application：申请单号、客户ID、产品ID、金额、期限、利率、状态、创建人、创建时间、审批历史（流程ID）,system_信贷系统操作手册_11_0,system,2025-12-31T15:24:35.361007,操作手册,信贷系统操作手册.md,全国,客户经理,生效
在哪里查询客户的授信审批历史,信贷系统操作手册,功能2_1,授信,loan_application：申请单号、客户ID、产品ID、金额、期限、利率、状态、创建人、创建时间、审批历史（流程ID）,system_信贷系统操作手册_11_1,system,2025-12-31T15:24:35.361007,操作手册,信贷系统操作手册.md,全国,客户经理,生效
贷款申请状态有哪些可能值,信贷系统操作手册,步骤3,用信,loan_application：申请单号、客户ID、产品ID、金额、期限、利率、状态、创建人、创建时间、审批历史（流程ID）,system_信贷系统操作手册_11_2,system,2025-12-31T15:24:35.361007,操作手册,信贷系统操作手册.md,全国,客户经理,生效
系统里怎么提交贷款申请审批,信贷系统操作手册,功能2_2,用信,loan_application：申请单号、客户ID、产品ID、金额、期限、利率、状态、创建人、创建时间、审批历史（流程ID）,system_信贷系统操作手册_11_3,system,2025-12-31T15:24:35.361007,操作手册,信贷系统操作手册.md,全国,客户经理,生效
如何录入客户基本信息,信贷系统操作手册,步骤1,客户,customer：customer_id、name、id_type、id_number、mobile、address、customer_type,system_信贷系统操作手册_12_0,system,2025-12-31T15:24:41.717171,操作手册,信贷系统操作手册.md,全国,客户经理,生效
在哪里查询客户的授信额度,信贷系统操作手册,功能2_1,授信,customer：customer_id、name、id_type、id_number、mobile、address、customer_type,system_信贷系统操作手册_12_1,system,2025-12-31T15:24:41.717171,操作手册,信贷系统操作手册.md,全国,客户经理,生效
怎么提交用信申请审批,信贷系统操作手册,步骤3,用信,customer：customer_id、name、id_type、id_number、mobile、address、customer_type,system_信贷系统操作手册_12_2,system,2025-12-31T15:24:41.717171,操作手册,信贷系统操作手册.md,全国,客户经理,生效
押品信息录入在哪个菜单操作,信贷系统操作手册,功能1_1,押品,customer：customer_id、name、id_type、id_number、mobile、address、customer_type,system_信贷系统操作手册_12_3,system,2025-12-31T15:24:41.717171,操作手册,信贷系统操作手册.md,全国,客户经理,生效
如何查看客户名下的贷款合同,信贷系统操作手册,功能3_2,用信,customer：customer_id、name、id_type、id_number、mobile、address、customer_type,system_信贷系统操作手册_12_4,system,2025-12-31T15:24:41.717171,操作手册,信贷系统操作手册.md,全国,客户经理,生效
如何查询客户的授信评分详情,信贷系统操作手册,步骤1,授信,risk_score：application_id、score、score_model、score_time、rule_hits(json),system_信贷系统操作手册_13_0,system,2025-12-31T15:24:47.381271,操作手册,信贷系统操作手册.md,全国,客户经理,生效
在哪里查看评分模型的命中规则,信贷系统操作手册,功能2_1,授信,risk_score：application_id、score、score_model、score_time、rule_hits(json),system_信贷系统操作手册_13_1,system,2025-12-31T15:24:47.381271,操作手册,信贷系统操作手册.md,全国,客户经理,生效
系统里怎么录入客户的信用评分数据,信贷系统操作手册,步骤2,授信,risk_score：application_id、score、score_model、score_time、rule_hits(json),system_信贷系统操作手册_13_2,system,2025-12-31T15:24:47.381271,操作手册,信贷系统操作手册.md,全国,客户经理,生效
评分结果更新时间在哪里查看,信贷系统操作手册,功能1_2,授信,risk_score：application_id、score、score_model、score_time、rule_hits(json),system_信贷系统操作手册_13_3,system,2025-12-31T15:24:47.381271,操作手册,信贷系统操作手册.md,全国,客户经理,生效
如何根据application_id查询风险评分,信贷系统操作手册,功能1_1,授信,risk_score：application_id、score、score_model、score_time、rule_hits(json),system_信贷系统操作手册_13_4,system,2025-12-31T15:24:47.381271,操作手册,信贷系统操作手册.md,全国,客户经理,生效
如何录入还款计划中的每期本金和利息,信贷系统操作手册,步骤1,用信,repayment_schedule：schedule_id、application_id、period_no、due_date、principal、interest、status,system_信贷系统操作手册_14_0,system,2025-12-31T15:24:53.144869,操作手册,信贷系统操作手册.md,全国,客户经理,生效
在哪里查看某笔贷款的还款计划表,信贷系统操作手册,功能2_1,用信,repayment_schedule：schedule_id、application_id、period_no、due_date、principal、interest、status,system_信贷系统操作手册_14_1,system,2025-12-31T15:24:53.144869,操作手册,信贷系统操作手册.md,全国,客户经理,生效
如何修改已生成的还款计划到期日,信贷系统操作手册,步骤3,用信,repayment_schedule：schedule_id、application_id、period_no、due_date、principal、interest、status,system_信贷系统操作手册_14_2,system,2025-12-31T15:24:53.144869,操作手册,信贷系统操作手册.md,全国,客户经理,生效
系统里怎么查询还款计划的期数状态,信贷系统操作手册,功能2_1,用信,repayment_schedule：schedule_id、application_id、period_no、due_date、principal、interest、status,system_信贷系统操作手册_14_3,system,2025-12-31T15:24:53.144869,操作手册,信贷系统操作手册.md,全国,客户经理,生效
新增还款计划时需要关联哪个申请单号,信贷系统操作手册,步骤1,用信,repayment_schedule：schedule_id、application_id、period_no、due_date、principal、interest、status,system_信贷系统操作手册_14_4,system,2025-12-31T15:24:53.144869,操作手册,信贷系统操作手册.md,全国,客户经理,生效
如何在系统中发起新的授信审批流程,信贷系统操作手册,步骤1,授信,使用 BPMN/流程引擎（如 Activiti/Camunda 等）实现审批流，支持可视化流程配置与版本管理（利于业务快速调整）。,system_信贷系统操作手册_15_0,system,2025-12-31T15:24:59.923579,操作手册,信贷系统操作手册.md,全国,客户经理,生效
在哪里查看当前用信申请的审批进度,信贷系统操作手册,功能2_1,用信,使用 BPMN/流程引擎（如 Activiti/Camunda 等）实现审批流，支持可视化流程配置与版本管理（利于业务快速调整）。,system_信贷系统操作手册_15_1,system,2025-12-31T15:24:59.923579,操作手册,信贷系统操作手册.md,全国,客户经理,生效
押品信息录入时需要上传哪些文件,信贷系统操作手册,步骤3,押品,使用 BPMN/流程引擎（如 Activiti/Camunda 等）实现审批流，支持可视化流程配置与版本管理（利于业务快速调整）。,system_信贷系统操作手册_15_2,system,2025-12-31T15:24:59.923579,操作手册,信贷系统操作手册.md,全国,客户经理,生效
如何修改已提交但未审批的授信申请,信贷系统操作手册,功能1_2,授信,使用 BPMN/流程引擎（如 Activiti/Camunda 等）实现审批流，支持可视化流程配置与版本管理（利于业务快速调整）。,system_信贷系统操作手册_15_3,system,2025-12-31T15:24:59.923579,操作手册,信贷系统操作手册.md,全国,客户经理,生效
系统里怎么查询历史审批流程记录,信贷系统操作手册,功能3_1,授信,使用 BPMN/流程引擎（如 Activiti/Camunda 等）实现审批流，支持可视化流程配置与版本管理（利于业务快速调整）。,system_信贷系统操作手册_15_4,system,2025-12-31T15:24:59.923579,操作手册,信贷系统操作手册.md,全国,客户经理,生效
如何查看客户逾期记录触发的风控提示,信贷系统操作手册,步骤3,授信,在关键页面显示“操作提示/校验规则”，例如“当客户有近2年内逾期，风控会自动建议人工复核”。（可参考银行需求文档的提示条设计）。,system_信贷系统操作手册_16_0,system,2025-12-31T15:25:06.902616,操作手册,信贷系统操作手册.md,全国,客户经理,生效
在哪里查看押品估值的系统校验规则,信贷系统操作手册,功能2_1,押品,在关键页面显示“操作提示/校验规则”，例如“当客户有近2年内逾期，风控会自动建议人工复核”。（可参考银行需求文档的提示条设计）。,system_信贷系统操作手册_16_1,system,2025-12-31T15:25:06.902616,操作手册,信贷系统操作手册.md,全国,客户经理,生效
用信审批时如何查看自动弹出的操作提示,信贷系统操作手册,步骤5,用信,在关键页面显示“操作提示/校验规则”，例如“当客户有近2年内逾期，风控会自动建议人工复核”。（可参考银行需求文档的提示条设计）。,system_信贷系统操作手册_16_2,system,2025-12-31T15:25:06.902616,操作手册,信贷系统操作手册.md,全国,客户经理,生效
客户近2年有逾期，系统会自动提示什么,信贷系统操作手册,步骤3,授信,在关键页面显示“操作提示/校验规则”，例如“当客户有近2年内逾期，风控会自动建议人工复核”。（可参考银行需求文档的提示条设计）。,system_信贷系统操作手册_16_3,system,2025-12-31T15:25:06.902616,操作手册,信贷系统操作手册.md,全国,客户经理,生效
如何录入押品信息并触发风险校验,信贷系统操作手册,功能1_2,押品,在关键页面显示“操作提示/校验规则”，例如“当客户有近2年内逾期，风控会自动建议人工复核”。（可参考银行需求文档的提示条设计）。,system_信贷系统操作手册_16_4,system,2025-12-31T15:25:06.902616,操作手册,信贷系统操作手册.md,全国,客户经理,生效
如何查看授信申请的审计日志,信贷系统操作手册,步骤3,授信,所有审批动作、接口调用（征信、支付）、数据修改都必须写审计日志（who/what/when/old_value/new_value）。,system_信贷系统操作手册_17_0,system,2025-12-31T15:25:13.224471,操作手册,信贷系统操作手册.md,全国,客户经理,生效
在哪里查询征信调用的操作记录,信贷系统操作手册,功能2_1,征信,所有审批动作、接口调用（征信、支付）、数据修改都必须写审计日志（who/what/when/old_value/new_value）。,system_信贷系统操作手册_17_1,system,2025-12-31T15:25:13.224471,操作手册,信贷系统操作手册.md,全国,客户经理,生效
修改客户信息时如何触发审计日志,信贷系统操作手册,步骤1,客户管理,所有审批动作、接口调用（征信、支付）、数据修改都必须写审计日志（who/what/when/old_value/new_value）。,system_信贷系统操作手册_17_2,system,2025-12-31T15:25:13.224471,操作手册,信贷系统操作手册.md,全国,客户经理,生效
系统里怎么提交用信审批并生成日志,信贷系统操作手册,功能3_2,用信,所有审批动作、接口调用（征信、支付）、数据修改都必须写审计日志（who/what/when/old_value/new_value）。,system_信贷系统操作手册_17_3,system,2025-12-31T15:25:13.224471,操作手册,信贷系统操作手册.md,全国,客户经理,生效
支付接口调用的审计日志包含哪些字段,信贷系统操作手册,功能4_1,支付,所有审批动作、接口调用（征信、支付）、数据修改都必须写审计日志（who/what/when/old_value/new_value）。,system_信贷系统操作手册_17_4,system,2025-12-31T15:25:13.224471,操作手册,信贷系统操作手册.md,全国,客户经理,生效
